Year;№;Team;M;W;D;L;G;GA;PTS;xG;xGA;xPTS
2023;1;Bayer Leverkusen;17;14;3;0;47;12;45;41.08-5.92;18.07+6.07;36.75-8.25
2023;2;Bayern Munich;16;13;2;1;52;15;41;50.48-1.52;13.68-1.32;40.72-0.28
2023;3;VfB Stuttgart;17;11;1;5;38;22;34;42.38+4.38;20.02-1.98;36.95+2.95
2023;4;RasenBallsport Leipzig;17;10;3;4;38;18;33;38.37+0.37;19.93+1.93;33.94+0.94
2023;5;Borussia Dortmund;17;8;6;3;33;25;30;34.88+1.88;30.52+5.52;26.87-3.13
2023;6;Eintracht Frankfurt;17;7;6;4;27;20;27;23.86-3.14;28.28+8.28;21.43-5.57
2023;7;Freiburg;17;7;4;6;21;26;25;27.13+6.13;26.74+0.74;24.01-0.99
2023;8;Hoffenheim;17;7;3;7;32;33;24;27.66-4.34;32.89-0.11;20.50-3.50
2023;9;FC Heidenheim;17;6;3;8;26;33;21;21.60-4.40;37.76+4.76;14.72-6.28
2023;10;Borussia M.Gladbach;17;5;5;7;34;36;20;26.65-7.35;32.10-3.90;20.53+0.53
2023;11;Wolfsburg;17;6;2;9;21;28;20;20.87-0.13;28.78+0.78;18.91-1.09
2023;12;Augsburg;17;4;6;7;24;32;18;24.21+0.21;30.32-1.68;20.18+2.18
2023;13;Werder Bremen;17;4;5;8;24;31;17;22.53-1.47;30.88-0.12;18.73+1.73
2023;14;Bochum;17;3;8;6;19;34;17;27.55+8.55;32.79-1.21;22.81+5.81
2023;15;Union Berlin;16;4;2;10;17;31;14;20.78+3.78;28.06-2.94;18.01+4.01
2023;16;Mainz 05;17;1;8;8;14;29;11;20.77+6.77;22.80-6.20;22.14+11.14
2023;17;FC Cologne;17;2;5;10;11;29;11;20.38+9.38;39.61+10.61;14.20+3.20
2023;18;Darmstadt;17;2;4;11;20;44;10;18.61-1.39;36.55-7.45;14.55+4.55
2022;1;Bayern Munich;17;10;6;1;51;15;36;43.44-7.56;16.82+1.82;37.92+1.92
2022;2;Union Berlin;17;10;3;4;29;22;33;18.75-10.25;17.81-4.19;23.72-9.28
2022;3;RasenBallsport Leipzig;17;9;5;3;37;23;32;36.60-0.40;19.12-3.88;33.98+1.98
2022;4;Eintracht Frankfurt;17;9;4;4;36;25;31;28.22-7.78;23.28-1.72;25.72-5.28
2022;5;Borussia Dortmund;17;10;1;6;31;25;31;31.06+0.06;22.41-2.59;28.66-2.34
2022;6;Freiburg;17;9;4;4;26;24;31;28.50+2.50;22.68-1.32;27.86-3.14
2022;7;Wolfsburg;17;8;5;4;35;20;29;25.32-9.68;25.30+5.30;23.40-5.60
2022;8;Bayer Leverkusen;17;7;3;7;30;28;24;26.22-3.78;25.90-2.10;25.15+1.15
2022;9;Borussia M.Gladbach;17;6;4;7;30;28;22;26.88-3.12;27.85-0.15;23.14+1.14
2022;10;FC Cologne;17;5;6;6;29;31;21;27.68-1.32;21.47-9.53;25.39+4.39
2022;11;Werder Bremen;17;6;3;8;27;36;21;23.23-3.77;31.65-4.35;20.37-0.63
2022;12;Mainz 05;17;5;5;7;21;27;20;21.49+0.49;26.76-0.24;21.21+1.21
2022;13;Hoffenheim;17;5;4;8;25;27;19;26.42+1.42;26.13-0.87;23.52+4.52
2022;14;Augsburg;17;5;3;9;22;30;18;19.29-2.71;34.40+4.40;14.01-3.99
2022;15;VfB Stuttgart;17;3;7;7;21;30;16;23.53+2.53;24.90-5.10;22.30+6.30
2022;16;Bochum;17;5;1;11;17;39;16;16.70-0.30;35.74-3.26;13.37-2.63
2022;17;Hertha Berlin;17;3;5;9;20;30;14;21.25+1.25;29.62-0.38;17.69+3.69
2022;18;Schalke 04;17;2;3;12;14;41;9;19.80+5.80;32.55-8.45;18.48+9.48
2021;1;Bayern Munich;17;14;1;2;56;16;43;54.79-1.21;14.75-1.25;43.18+0.18
2021;2;Borussia Dortmund;17;11;1;5;41;26;34;33.81-7.19;24.78-1.22;29.65-4.35
2021;3;Freiburg;17;8;5;4;28;16;29;28.55+0.55;23.10+7.10;26.84-2.16
2021;4;Bayer Leverkusen;17;8;4;5;40;28;28;26.09-13.91;24.44-3.56;24.71-3.29
2021;5;Hoffenheim;17;8;4;5;35;26;28;30.05-4.95;25.55-0.45;25.54-2.46
2021;6;Eintracht Frankfurt;17;7;6;4;27;24;27;22.65-4.35;30.01+6.01;19.94-7.06
2021;7;Union Berlin;17;7;6;4;23;21;27;26.20+3.20;19.70-1.30;28.22+1.22
2021;8;FC Cologne;17;6;7;4;27;27;25;28.09+1.09;26.83-0.17;25.89+0.89
2021;9;Mainz 05;17;7;3;7;25;17;24;26.27+1.27;17.17+0.17;28.13+4.13
2021;10;RasenBallsport Leipzig;17;6;4;7;30;22;22;37.00+7.00;27.74+5.74;28.98+6.98
2021;11;Hertha Berlin;17;6;3;8;20;35;21;20.37+0.37;27.50-7.50;21.72+0.72
2021;12;Bochum;17;6;2;9;16;26;20;20.95+4.95;32.38+6.38;19.28-0.72
2021;13;Wolfsburg;17;6;2;9;17;29;20;24.87+7.87;28.73-0.27;21.33+1.33
2021;14;Borussia M.Gladbach;17;5;4;8;22;32;19;28.86+6.86;28.09-3.91;24.99+5.99
2021;15;Augsburg;17;4;6;7;17;26;18;19.22+2.22;31.83+5.83;17.55-0.45
2021;16;VfB Stuttgart;17;4;5;8;22;31;17;19.61-2.39;30.19-0.81;16.04-0.96
2021;17;Arminia Bielefeld;17;3;7;7;14;22;16;14.36+0.36;31.33+9.33;12.33-3.67
